Project Title,Project Type,Planned Budget ($),Actual Budget ($),Planned Schedule (Weeks),Actual Schedule (Weeks),Planned Scope (Story Points),Actual Scope (Story Points),Project Manager Title,Project Manager Skill Level,Leadership Support,Team Collaboration Level,Stakeholder Engagement,Work-Life Balance (hrs/week),Psychological Safety Score,Resource Availability,Turnover Rate (%),Development Methodology,DevOps Adoption,Automated Testing Coverage (%),CI/CD Pipeline Usage,Code Review Process,Technical Debt Level,Cloud-Based Development,Security Practices,Team Size,Average Experience Level,Senior to Junior(5),Expected Sprint Completion Rate (%),Task Completion Rate (%),Expected Velocity (Story Points per Sprint),Estimated Cycle Time (Days per Task),Defect Rate (Bugs per KLOC),Number of Dependencies Blocked,Project Info Score,Environment Score,Technical Score,Stability Score,Productivity Score,Resource Utilization Score,Risk Score,Total Score,Project Success
Project_91,AI/ML Project,346425,373155,29,30,249,244,Scrum Master,2,Low,10,Weak,50,4,Adequate,1.88,Agile,Yes,87,Yes,Formal,Low,Yes,Intermediate,11,Junior,0,87,99,30,6,1.36,0,5.99,6.87,9.46,5.67,7.1,7.03,2.93,7.09,1
Project_92,Business System,110498,127232,28,30,460,451,Technical Lead,2,Low,7,Strong,40,1,Adequate,6.91,Agile,Yes,92,Yes,Formal,Medium,Yes,Advanced,12,Senior,1,92,84,30,10,3.36,2,4.2,6.94,9.28,8.33,4.68,5.26,6.34,5.94,0
Project_93,Web/Mobile App,219139,211340,34,38,438,462,Scrum Master,4,Low,5,Moderate,50,1,Insufficient,13.29,Scrum,Yes,100,Yes,Ad Hoc,Low,Yes,Basic,5,Junior,2,97,93,20,10,2.28,3,5.73,4.48,8.75,7.33,4.57,5.41,6.51,5.63,0
Project_94,Data Analytics,195297,180958,35,39,383,363,Scrum Master,4,Low,10,Moderate,40,6,Insufficient,5.14,Scrum,Yes,83,Yes,Ad Hoc,High,Yes,Intermediate,10,Mid,3,81,84,30,8,2.42,0,4.44,6.92,7.54,9.0,5.82,5.15,3.87,6.25,1
Project_95,Business System,155221,149078,9,8,465,462,Project Manager,4,High,2,Moderate,50,8,Adequate,7.63,Waterfall,Yes,89,Yes,Ad Hoc,High,Yes,Advanced,18,Mid,2,86,80,20,3,2.93,3,5.59,7.17,7.36,7.33,4.97,5.83,3.9,6.43,1
Project_96,AI/ML Project,335101,344230,21,20,166,188,Project Manager,1,High,1,Moderate,35,5,Limited,5.64,Agile,Yes,100,Yes,Formal,Low,Yes,Intermediate,16,Mid,2,88,86,50,8,2.19,2,6.95,6.6,9.62,7.33,6.27,7.31,4.94,7.05,1
Project_97,Business System,110512,111202,18,23,436,451,Scrum Master,5,Medium,3,Moderate,40,5,Adequate,11.75,Scrum,Yes,71,Yes,Formal,Medium,Yes,Advanced,15,Senior,3,80,97,20,9,2.11,1,6.81,6.59,9.01,9.0,5.28,6.37,5.52,6.75,1
Project_98,AI/ML Project,411794,429686,33,31,126,107,Technical Lead,2,Medium,7,Moderate,40,6,Adequate,3.23,Kanban,Yes,77,Yes,Ad Hoc,High,Yes,Basic,13,Mid,0,99,87,20,6,4.19,1,5.83,7.91,6.96,5.67,5.43,6.52,3.26,6.65,1
Project_99,Web/Mobile App,312159,330678,22,26,136,126,Technical Lead,5,High,7,Moderate,40,9,Limited,11.69,Kanban,Yes,63,Yes,Formal,Low,Yes,Basic,14,Senior,3,92,89,60,7,0.91,1,5.0,7.74,8.66,9.0,8.01,5.63,5.16,6.49,1
Project_100,AI/ML Project,415303,415508,12,17,390,388,Scrum Master,2,Medium,4,Weak,50,5,Insufficient,14.34,Scrum,Yes,75,Yes,Formal,Low,Yes,Intermediate,7,Mid,0,89,86,30,8,1.03,0,6.37,4.83,9.31,6.67,6.76,6.52,3.91,6.59,1
Project_101,Business System,123112,110954,19,24,494,502,Technical Lead,2,Medium,2,Strong,50,1,Adequate,3.68,Kanban,Yes,87,Yes,Formal,Low,Yes,Advanced,7,Mid,2,99,93,20,5,0.64,2,3.44,6.45,9.59,8.33,6.68,5.04,3.57,6.3,1
Project_102,Embedded System,62988,45761,13,18,222,239,Scrum Master,1,Medium,10,Moderate,50,7,Limited,2.25,Waterfall,Yes,66,Yes,Ad Hoc,High,Yes,Intermediate,4,Senior,0,92,83,60,4,0.81,2,3.2,7.7,6.7,5.67,8.13,5.07,4.43,5.59,0
Project_103,AI/ML Project,86178,106936,32,31,478,495,Scrum Master,1,Low,6,Weak,35,7,Insufficient,13.71,Waterfall,Yes,91,Yes,Formal,Medium,Yes,Advanced,14,Junior,1,86,88,20,7,0.67,0,5.26,5.31,8.64,5.33,6.69,5.7,4.3,5.98,0
Project_104,Business System,92983,98612,24,29,297,286,Project Manager,5,Medium,6,Strong,50,2,Adequate,14.91,Kanban,Yes,60,Yes,Formal,Medium,Yes,Intermediate,17,Senior,1,91,81,20,10,5.0,1,5.07,6.36,8.25,7.33,4.53,5.05,6.34,5.68,0
Project_105,AI/ML Project,407246,435565,27,32,271,298,Technical Lead,3,Low,4,Weak,50,6,Limited,9.56,Agile,Yes,88,Yes,Ad Hoc,High,Yes,Intermediate,10,Junior,3,83,99,20,7,1.22,0,4.51,5.32,7.6,8.0,6.52,5.38,6.76,5.41,0
Project_106,Business System,191555,176461,17,16,105,117,Scrum Master,4,High,2,Strong,50,7,Insufficient,3.13,Agile,Yes,100,Yes,Ad Hoc,High,Yes,Advanced,19,Senior,3,95,81,20,3,2.14,1,5.67,6.92,8.12,9.0,6.25,5.95,3.71,6.75,1
Project_107,Web/Mobile App,434694,428257,38,38,492,472,Project Manager,3,Low,5,Weak,35,4,Limited,9.41,Agile,Yes,62,Yes,Formal,Low,Yes,Basic,13,Mid,0,98,92,20,6,1.24,2,9.03,5.47,8.9,5.67,6.15,8.14,2.92,7.53,1
Project_108,Embedded System,191893,190297,40,45,427,440,Technical Lead,2,Low,6,Moderate,40,4,Limited,7.33,Waterfall,Yes,76,Yes,Formal,High,Yes,Advanced,12,Mid,1,83,100,60,9,1.67,1,6.15,6.33,7.83,7.33,7.29,6.97,4.66,6.59,1
Project_109,AI/ML Project,254247,257612,9,14,182,199,Technical Lead,5,Low,10,Strong,40,2,Insufficient,3.3,Agile,Yes,81,Yes,Formal,Medium,Yes,Basic,9,Mid,2,82,92,30,2,2.74,1,6.6,6.91,8.51,8.33,6.46,6.75,5.85,6.65,1
Project_110,Data Analytics,278125,294563,8,9,463,467,Technical Lead,4,Low,5,Strong,35,2,Adequate,12.5,Agile,Yes,94,Yes,Formal,High,Yes,Basic,15,Junior,3,96,91,20,8,0.65,1,5.03,6.25,8.05,7.0,6.42,5.39,5.16,5.92,0
Project_111,Business System,267544,255738,16,17,459,449,Project Manager,5,High,5,Weak,50,8,Limited,1.32,Agile,Yes,96,Yes,Ad Hoc,High,Yes,Intermediate,15,Senior,2,85,93,30,4,3.45,2,6.74,7.19,7.7,8.33,5.72,6.71,3.6,7.04,1
Project_112,Business System,153961,158480,10,13,163,179,Scrum Master,4,Medium,5,Strong,35,1,Limited,10.76,Waterfall,Yes,90,Yes,Ad Hoc,High,Yes,Advanced,15,Junior,2,93,96,20,8,4.95,2,5.92,6.23,7.38,6.33,4.82,5.79,7.79,5.45,0
Project_113,AI/ML Project,408418,393934,32,33,488,475,Technical Lead,2,High,1,Strong,50,1,Adequate,1.57,Agile,Yes,76,Yes,Formal,Medium,Yes,Advanced,12,Mid,3,99,86,50,6,1.55,0,7.32,6.89,9.07,9.0,7.81,8.17,1.64,8.11,1
Project_114,AI/ML Project,218819,223410,11,16,384,406,Project Manager,2,High,5,Strong,35,4,Limited,12.5,Scrum,Yes,69,Yes,Formal,High,Yes,Intermediate,3,Junior,3,93,86,30,5,4.79,0,5.77,6.96,7.99,6.0,6.23,6.19,6.3,6.0,1
Project_115,Web/Mobile App,188640,201644,20,23,258,251,Scrum Master,5,Medium,7,Moderate,40,7,Limited,4.99,Waterfall,Yes,73,Yes,Ad Hoc,Medium,Yes,Basic,15,Mid,0,82,88,60,4,3.85,0,4.85,7.5,7.16,5.67,7.5,5.89,5.31,5.9,0
Project_116,Business System,440233,446638,35,33,302,300,Scrum Master,1,High,5,Strong,40,4,Insufficient,8.14,Waterfall,Yes,69,Yes,Ad Hoc,Medium,Yes,Basic,9,Junior,2,81,83,50,8,3.63,3,7.03,6.99,7.11,7.33,5.32,7.14,4.27,6.83,1
Project_117,AI/ML Project,176080,157922,20,21,339,346,Technical Lead,1,Medium,9,Weak,40,3,Limited,14.3,Agile,Yes,83,Yes,Formal,High,Yes,Intermediate,13,Mid,3,87,86,50,8,4.46,0,4.7,6.12,8.16,8.0,6.47,5.78,4.51,6.19,1
Project_118,Business System,355078,377245,34,39,237,258,Technical Lead,3,Medium,6,Moderate,35,6,Adequate,12.94,Waterfall,Yes,74,Yes,Formal,High,Yes,Basic,5,Junior,2,84,92,60,3,4.72,0,4.73,6.93,7.17,7.33,7.77,6.26,7.52,5.62,0
Project_119,Web/Mobile App,306189,307671,35,38,410,434,Scrum Master,4,Low,10,Moderate,40,3,Insufficient,5.9,Agile,Yes,78,Yes,Ad Hoc,Low,Yes,Advanced,15,Mid,0,87,81,50,6,2.12,1,7.08,6.44,9.1,5.67,6.87,7.01,4.98,6.72,1
Project_120,Embedded System,461992,480552,13,14,109,138,Project Manager,2,High,9,Moderate,35,3,Limited,6.9,Scrum,Yes,94,Yes,Formal,High,Yes,Advanced,13,Mid,0,81,88,30,4,3.03,0,5.89,7.36,8.68,5.67,6.23,6.56,6.43,6.21,1
Project_121,Business System,475891,501812,29,30,438,419,Technical Lead,1,High,4,Weak,35,2,Insufficient,3.92,Scrum,Yes,64,Yes,Formal,High,Yes,Intermediate,5,Junior,1,89,97,20,4,4.24,3,6.4,5.86,7.92,6.33,5.1,6.77,4.8,6.39,1
Project_122,Data Analytics,380403,405058,33,37,101,115,Scrum Master,1,Medium,5,Strong,40,2,Adequate,3.69,Scrum,Yes,64,Yes,Formal,Medium,Yes,Basic,20,Junior,2,81,89,60,6,1.85,1,4.26,7.45,8.3,6.33,7.47,6.01,6.39,5.86,0
Project_123,Data Analytics,373173,388381,22,26,114,131,Project Manager,4,High,2,Weak,50,3,Adequate,10.5,Kanban,Yes,64,Yes,Formal,Low,Yes,Intermediate,6,Junior,0,89,100,30,2,4.06,0,5.58,5.82,8.93,5.67,6.9,6.49,7.35,5.77,0
Project_124,AI/ML Project,347979,328752,22,22,207,211,Project Manager,4,Medium,3,Weak,40,2,Limited,2.65,Scrum,Yes,61,Yes,Formal,Medium,Yes,Intermediate,14,Senior,1,92,93,50,9,3.35,3,8.14,5.95,8.51,7.33,5.5,7.68,3.43,7.36,1
Project_125,Data Analytics,210606,195088,28,27,296,314,Scrum Master,4,Medium,2,Weak,40,3,Adequate,10.62,Waterfall,Yes,99,Yes,Ad Hoc,High,Yes,Advanced,13,Mid,1,96,80,30,7,2.34,1,6.52,5.81,7.49,6.33,5.88,6.55,4.31,6.38,1
Project_126,Embedded System,92942,83229,22,24,315,302,Technical Lead,5,Medium,9,Strong,50,6,Limited,1.36,Scrum,Yes,86,Yes,Ad Hoc,Medium,Yes,Basic,18,Mid,3,87,80,50,7,2.21,2,4.15,7.9,7.95,8.0,6.31,5.03,3.64,6.33,1
Project_127,Data Analytics,129225,121340,32,34,403,394,Project Manager,1,Medium,1,Moderate,50,3,Adequate,11.72,Kanban,Yes,61,Yes,Formal,High,Yes,Basic,19,Junior,2,93,83,60,4,4.02,1,5.43,5.59,7.39,6.33,7.27,6.72,4.71,6.13,1
Project_128,Embedded System,93500,116269,31,30,496,503,Technical Lead,3,High,10,Weak,50,6,Adequate,9.63,Kanban,Yes,89,Yes,Formal,Low,Yes,Advanced,18,Senior,2,80,90,50,4,2.12,0,5.63,7.46,9.61,8.33,7.57,6.59,4.68,6.95,1
Project_129,AI/ML Project,63294,75269,27,28,267,276,Project Manager,4,Medium,1,Strong,50,2,Limited,2.02,Scrum,Yes,84,Yes,Ad Hoc,High,Yes,Intermediate,9,Junior,2,80,91,30,6,4.15,1,5.69,6.14,7.55,7.33,5.6,6.24,5.18,6.16,1
Project_130,Data Analytics,314858,297446,36,40,389,409,Technical Lead,1,Low,2,Weak,50,1,Insufficient,5.21,Scrum,Yes,66,Yes,Formal,Low,Yes,Basic,10,Junior,3,80,88,60,3,0.8,1,4.54,4.2,8.95,8.0,8.52,6.15,4.17,6.16,1
Project_131,Embedded System,208342,193688,8,13,292,283,Scrum Master,1,Low,4,Weak,50,1,Insufficient,8.88,Waterfall,Yes,61,Yes,Formal,High,Yes,Advanced,6,Junior,2,96,86,50,7,2.2,3,4.0,4.22,7.64,7.33,6.23,5.24,5.37,5.35,0
Project_132,Embedded System,288753,307309,26,28,142,168,Project Manager,5,High,10,Weak,35,8,Adequate,9.26,Agile,Yes,65,Yes,Formal,Low,Yes,Intermediate,10,Junior,2,87,94,30,10,2.96,0,5.76,8.05,9.19,7.33,5.46,6.07,7.21,6.26,1
Project_133,Embedded System,193858,192523,34,35,363,393,Project Manager,5,High,6,Moderate,50,5,Insufficient,8.56,Agile,Yes,79,Yes,Ad Hoc,High,Yes,Advanced,17,Junior,0,90,95,60,7,0.73,3,8.91,6.39,7.86,4.67,7.51,7.99,4.7,7.0,1
Project_134,AI/ML Project,231525,222639,30,29,233,219,Scrum Master,5,Low,9,Moderate,40,4,Adequate,13.39,Agile,Yes,86,Yes,Formal,High,Yes,Intermediate,19,Senior,2,95,84,30,2,4.02,3,7.67,6.76,8.2,8.33,5.73,7.18,4.33,7.16,1
Project_135,Business System,431550,427619,15,17,298,283,Technical Lead,3,Medium,7,Moderate,50,6,Limited,8.25,Scrum,Yes,65,Yes,Ad Hoc,High,Yes,Basic,9,Senior,1,89,97,50,7,3.71,0,6.18,6.7,7.06,8.33,6.85,6.92,4.71,6.61,1
Project_136,Business System,280215,264231,31,32,173,196,Scrum Master,1,High,8,Strong,40,2,Insufficient,1.09,Scrum,Yes,92,Yes,Ad Hoc,Low,Yes,Intermediate,11,Mid,0,100,91,20,4,2.71,3,6.52,7.64,8.9,6.67,5.35,6.94,4.89,6.88,1
Project_137,Embedded System,328648,345429,20,25,456,459,Technical Lead,5,Low,4,Moderate,35,6,Limited,1.38,Kanban,Yes,70,Yes,Ad Hoc,High,Yes,Basic,16,Senior,0,87,94,50,4,4.15,1,5.47,6.62,6.88,6.67,6.93,6.22,4.86,6.1,1
Project_138,Embedded System,200066,189339,16,17,172,160,Scrum Master,1,High,7,Moderate,40,1,Limited,6.38,Scrum,Yes,76,Yes,Formal,Low,Yes,Basic,16,Mid,0,81,84,50,4,1.4,0,5.51,6.97,9.07,5.67,7.89,6.68,2.88,6.89,1
Project_139,Embedded System,331995,330818,20,25,459,471,Project Manager,3,Medium,10,Weak,50,7,Insufficient,4.61,Waterfall,Yes,63,Yes,Ad Hoc,Medium,Yes,Intermediate,9,Junior,3,89,100,20,2,3.31,0,6.49,6.67,7.29,8.0,6.48,6.96,4.54,6.7,1
Project_140,Embedded System,381547,406105,17,15,214,235,Project Manager,2,Low,8,Weak,50,10,Limited,2.94,Kanban,Yes,74,Yes,Ad Hoc,Medium,Yes,Basic,6,Junior,2,93,90,60,2,1.87,3,4.47,6.93,7.55,7.33,7.68,6.1,5.24,6.05,1
Project_141,Embedded System,432760,431221,23,23,479,459,Project Manager,1,High,8,Weak,50,3,Insufficient,9.74,Kanban,Yes,99,Yes,Formal,Medium,Yes,Basic,17,Mid,2,85,93,20,3,3.83,3,8.97,5.88,8.49,7.33,5.13,8.19,4.29,7.42,1
Project_142,Embedded System,358457,375421,8,12,277,306,Scrum Master,1,High,1,Strong,35,9,Adequate,2.73,Waterfall,Yes,81,Yes,Ad Hoc,High,Yes,Advanced,3,Senior,3,86,82,50,2,1.96,1,4.78,8.23,7.26,8.0,7.63,6.3,6.0,6.22,1
Project_143,Data Analytics,279507,303187,23,21,285,302,Scrum Master,3,Medium,8,Strong,40,7,Insufficient,12.07,Scrum,Yes,86,Yes,Formal,High,Yes,Basic,16,Senior,2,97,84,30,5,2.04,3,4.45,7.14,7.95,8.33,5.8,4.89,6.21,5.74,0
Project_144,AI/ML Project,144717,172849,36,36,221,218,Scrum Master,2,High,7,Strong,50,8,Limited,10.76,Scrum,Yes,92,Yes,Formal,Medium,Yes,Advanced,14,Senior,0,95,87,30,10,3.81,1,6.36,7.66,9.28,6.67,5.12,6.44,5.33,6.71,1
Project_145,AI/ML Project,89628,90382,36,40,122,128,Scrum Master,5,Medium,9,Strong,35,7,Adequate,7.26,Agile,Yes,62,Yes,Ad Hoc,High,Yes,Basic,4,Senior,2,89,88,20,3,4.13,3,6.75,8.34,7.03,7.33,5.12,6.39,6.5,6.35,1
Project_146,Embedded System,385966,385993,11,13,381,379,Scrum Master,3,Medium,9,Moderate,50,6,Limited,6.57,Waterfall,Yes,66,Yes,Ad Hoc,Medium,Yes,Advanced,4,Junior,1,90,80,20,9,2.48,1,6.58,7.1,7.7,4.33,4.96,6.27,4.47,6.31,1
Project_147,AI/ML Project,418277,418425,22,21,440,452,Technical Lead,1,Low,1,Weak,40,5,Insufficient,13.07,Kanban,Yes,72,Yes,Formal,Low,Yes,Basic,17,Senior,0,100,93,20,10,0.54,0,7.83,4.5,8.78,6.67,6.58,7.37,2.43,7.19,1
Project_148,Data Analytics,146678,128112,31,36,452,432,Scrum Master,5,Low,5,Moderate,35,1,Adequate,10.98,Scrum,Yes,60,Yes,Formal,High,Yes,Advanced,11,Mid,1,89,83,50,4,4.03,2,3.87,5.79,8.25,7.33,6.45,5.07,5.67,5.55,0
Project_149,AI/ML Project,382687,372956,38,40,324,320,Project Manager,4,Medium,2,Strong,50,6,Insufficient,4.08,Agile,Yes,74,Yes,Ad Hoc,High,Yes,Advanced,4,Junior,3,98,89,30,7,4.74,3,7.42,6.28,7.8,6.0,5.03,6.72,4.22,6.66,1
Project_150,Embedded System,353818,358834,18,22,495,497,Project Manager,3,Low,3,Strong,35,7,Limited,2.28,Waterfall,Yes,86,Yes,Formal,Medium,Yes,Intermediate,14,Mid,0,92,81,60,10,0.97,3,6.17,6.98,8.2,5.67,6.68,6.52,3.89,6.62,1
Project_151,Web/Mobile App,338337,391908,26,41,194,159,Project Manager,2,High,4,Strong,40,4,Adequate,27.91,Scrum,Yes,35,Yes,Formal,Medium,Yes,Intermediate,3,Senior,0,22,28,50,4,5.38,5,2.86,6.86,8.19,5.67,3.42,3.36,8.33,4.43,0
Project_152,Data Analytics,332750,396350,14,25,281,284,Project Manager,3,Medium,6,Moderate,40,3,Insufficient,17.24,Scrum,Yes,37,Yes,Formal,Low,Yes,Intermediate,18,Senior,0,74,74,20,9,4.21,8,3.6,5.48,8.84,6.67,2.97,3.51,8.51,4.53,0
Project_153,Data Analytics,321609,355997,31,45,406,477,Project Manager,4,Medium,3,Weak,35,5,Insufficient,18.69,Agile,Yes,46,No,Ad Hoc,Medium,Yes,Advanced,15,Junior,2,69,69,50,7,6.12,6,3.8,4.67,6.83,6.33,4.38,3.9,10.0,3.9,0
Project_154,Business System,98787,167813,25,30,185,166,Scrum Master,5,Low,4,Moderate,50,7,Adequate,28.69,Kanban,Yes,75,No,Ad Hoc,High,Yes,Basic,13,Mid,2,29,73,50,7,4.12,9,3.69,5.57,5.69,7.33,3.78,3.78,8.33,4.25,0
Project_155,Business System,472530,510669,11,21,129,179,Scrum Master,5,High,2,Strong,40,7,Limited,31.74,Agile,No,58,Yes,Formal,Medium,Yes,Basic,6,Mid,1,49,64,30,8,7.92,7,4.58,6.57,6.97,7.33,2.97,4.13,9.68,4.55,0
Project_156,Business System,140039,200289,27,40,243,275,Technical Lead,4,Medium,3,Moderate,40,3,Insufficient,38.98,Agile,No,54,Yes,,High,No,Advanced,7,Mid,1,41,52,30,8,7.36,10,3.8,4.86,4.42,7.33,2.63,3.49,10.0,3.57,0
Project_157,Business System,227712,261022,12,17,308,279,Technical Lead,4,Medium,4,Strong,50,8,Limited,17.99,Scrum,Yes,36,No,Ad Hoc,Medium,No,Basic,11,Junior,1,77,42,50,2,4.91,8,3.52,6.29,4.83,6.33,4.9,4.18,8.33,4.21,0
Project_158,AI/ML Project,440986,489921,14,25,475,466,Technical Lead,2,Low,2,Weak,50,9,Insufficient,28.8,Scrum,Yes,56,Yes,Ad Hoc,Medium,Yes,Advanced,4,Mid,2,71,78,20,7,2.38,4,3.34,4.29,8.2,6.33,4.0,3.46,7.65,4.34,0
Project_159,AI/ML Project,484786,563715,37,47,144,187,Technical Lead,5,Medium,3,Weak,50,1,Limited,35.86,Scrum,No,66,Yes,Ad Hoc,High,No,Intermediate,20,Junior,3,70,72,60,4,7.18,4,4.0,4.14,4.83,7.0,5.7,4.41,9.67,3.81,0
Project_160,Web/Mobile App,406219,457620,27,37,390,449,Project Manager,2,High,9,Moderate,35,5,Insufficient,22.63,Agile,No,92,No,Formal,Medium,No,Basic,9,Junior,2,51,58,60,9,7.83,7,3.4,6.29,4.9,7.33,3.98,3.9,10.0,3.9,0
Project_161,Business System,200354,240183,34,47,469,466,Scrum Master,2,High,5,Moderate,35,1,Adequate,32.27,Waterfall,No,91,No,Formal,High,No,Advanced,9,Junior,2,32,37,20,8,6.64,4,3.38,6.0,4.26,7.33,2.15,3.63,8.0,4.09,0
Project_162,AI/ML Project,69145,107586,15,30,251,293,Project Manager,5,Low,8,Strong,35,4,Insufficient,20.56,Waterfall,Yes,44,No,Ad Hoc,Medium,No,Basic,9,Junior,2,33,47,50,3,4.67,9,4.0,5.57,4.3,7.33,4.08,3.93,10.0,3.8,0
Project_163,AI/ML Project,494375,529667,20,28,167,180,Technical Lead,4,High,7,Strong,50,1,Limited,27.97,Agile,No,42,No,Ad Hoc,High,No,Basic,15,Mid,3,26,75,60,4,6.67,3,4.66,6.0,3.02,8.0,5.35,4.88,8.49,4.37,0
Project_164,Business System,388857,445906,25,35,463,540,Project Manager,1,Low,9,Weak,40,2,Adequate,27.4,Waterfall,No,43,Yes,,High,Yes,Advanced,17,Senior,2,37,56,50,10,2.68,7,3.2,5.57,4.91,8.33,3.31,3.79,9.82,3.87,0
Project_165,AI/ML Project,490446,562259,40,52,470,471,Scrum Master,1,Medium,3,Strong,40,4,Adequate,24.9,Kanban,No,34,Yes,,Medium,Yes,Basic,17,Mid,1,37,62,30,2,5.55,4,3.2,6.29,5.17,6.33,4.07,4.07,8.04,4.24,0
Project_166,Web/Mobile App,397000,478011,28,38,124,114,Project Manager,4,Low,1,Strong,35,1,Adequate,23.47,Waterfall,Yes,72,No,Ad Hoc,High,No,Advanced,5,Mid,1,72,53,20,9,5.13,6,3.56,5.0,4.65,7.33,2.58,3.61,8.33,3.95,0
Project_167,AI/ML Project,393456,451877,20,31,259,265,Scrum Master,5,Low,2,Strong,35,3,Adequate,39.9,Kanban,No,55,No,Formal,High,No,Advanced,7,Senior,1,33,20,50,3,6.26,8,4.0,5.43,4.19,8.33,3.63,4.09,8.72,4.15,0
Project_168,Data Analytics,73094,157879,17,23,469,542,Project Manager,3,Low,2,Weak,40,4,Insufficient,27.86,Waterfall,Yes,94,No,,Low,Yes,Advanced,13,Mid,2,67,71,60,3,3.47,5,3.6,4.0,6.8,7.33,5.47,4.19,10.0,3.94,0
Project_169,Web/Mobile App,83580,145892,38,46,351,421,Technical Lead,3,Low,3,Weak,35,8,Adequate,36.62,Kanban,No,56,Yes,,High,No,Advanced,13,Mid,3,70,31,50,8,2.94,5,3.6,5.43,4.2,8.0,3.63,3.93,9.97,3.77,0
Project_170,Data Analytics,99907,134699,11,25,342,394,Technical Lead,3,Low,1,Moderate,35,2,Adequate,39.91,Scrum,Yes,83,Yes,Ad Hoc,High,Yes,Basic,6,Senior,1,62,23,60,5,7.7,8,3.6,4.71,7.29,8.33,4.25,4.28,10.0,4.24,0
Project_171,Web/Mobile App,67145,127909,22,31,379,385,Scrum Master,1,Medium,5,Moderate,35,3,Limited,29.22,Agile,No,86,Yes,Ad Hoc,Low,No,Basic,4,Mid,1,43,59,50,2,3.45,6,3.2,5.43,6.08,5.33,4.62,3.93,8.6,4.0,0
Project_172,Web/Mobile App,268975,307174,33,44,269,349,Scrum Master,3,High,7,Weak,40,8,Limited,33.31,Agile,No,32,Yes,Ad Hoc,High,No,Advanced,18,Mid,2,43,41,50,3,3.47,3,3.6,6.57,4.78,7.33,4.82,4.14,9.33,4.14,0
Project_173,Embedded System,195278,277537,16,28,171,163,Scrum Master,1,Low,4,Moderate,40,5,Limited,32.82,Agile,No,32,No,,Medium,Yes,Advanced,10,Senior,1,48,53,30,5,3.99,10,3.06,5.29,4.78,8.33,3.27,3.74,8.33,4.07,0
Project_174,Web/Mobile App,65205,156514,12,23,353,327,Technical Lead,5,Medium,4,Moderate,35,6,Adequate,29.99,Scrum,No,70,Yes,,Low,Yes,Basic,13,Junior,2,64,69,60,2,6.86,7,3.78,6.14,6.5,6.33,5.55,4.37,8.33,4.52,0
Project_175,Business System,412192,482823,38,52,456,528,Scrum Master,1,Medium,3,Weak,35,6,Limited,34.67,Scrum,Yes,57,Yes,Formal,High,No,Advanced,17,Junior,1,36,42,60,2,5.41,3,3.2,5.14,6.96,5.33,5.3,4.29,9.33,4.03,0
Project_176,Web/Mobile App,94463,187383,38,52,375,395,Technical Lead,4,High,10,Weak,50,10,Insufficient,23.14,Waterfall,No,79,No,Formal,Low,No,Advanced,10,Mid,0,53,27,30,7,4.59,7,3.8,6.43,5.36,6.67,2.58,3.48,9.22,4.03,0
Project_177,AI/ML Project,466350,559767,21,26,247,283,Technical Lead,3,Medium,6,Weak,35,3,Adequate,16.1,Scrum,Yes,79,Yes,Formal,High,No,Basic,20,Senior,2,55,35,60,8,7.08,8,3.6,5.85,6.61,8.33,3.83,4.1,10.0,4.27,0
Project_178,Web/Mobile App,408274,502682,30,42,193,205,Scrum Master,2,Low,10,Weak,50,2,Limited,31.23,Agile,Yes,42,No,Ad Hoc,High,Yes,Intermediate,17,Senior,3,72,60,50,9,4.69,6,3.4,4.86,5.78,9.0,3.95,3.89,9.37,4.1,0
Project_179,Embedded System,431619,517306,20,27,258,260,Project Manager,5,Low,4,Moderate,35,2,Limited,18.35,Kanban,No,69,No,,Low,Yes,Basic,16,Senior,1,32,20,60,3,5.7,5,4.0,4.83,4.99,7.33,4.03,3.95,8.46,4.1,0
Project_180,Embedded System,278400,376731,32,41,167,234,Scrum Master,3,High,4,Weak,50,5,Adequate,26.34,Scrum,No,53,No,Formal,Medium,No,Advanced,17,Junior,0,67,41,20,10,4.65,9,3.6,5.71,5.04,4.67,2.13,3.49,10.0,3.49,0
Project_181,Data Analytics,432077,513832,9,18,195,160,Technical Lead,5,Low,4,Strong,50,5,Adequate,15.0,Scrum,Yes,83,Yes,,High,Yes,Basic,17,Junior,0,73,26,20,3,3.65,4,3.46,6.07,6.66,4.67,3.48,3.66,8.0,4.21,0
Project_182,Business System,108057,154996,33,45,375,352,Project Manager,1,Medium,2,Moderate,50,10,Adequate,25.88,Kanban,No,35,No,,Medium,Yes,Advanced,19,Mid,0,39,63,30,4,7.1,3,3.02,6.14,4.56,5.67,4.12,3.96,7.67,4.08,0
Project_183,Data Analytics,188137,264705,22,33,186,172,Scrum Master,1,Low,4,Strong,50,5,Limited,36.39,Agile,No,74,No,,Medium,Yes,Intermediate,15,Mid,0,26,67,20,5,7.46,8,2.97,5.29,4.92,5.67,2.72,3.36,8.33,3.72,0
Project_184,AI/ML Project,172142,258948,13,27,225,189,Scrum Master,4,High,3,Strong,35,1,Insufficient,32.04,Agile,Yes,53,No,Ad Hoc,Medium,No,Advanced,7,Senior,2,58,46,50,4,3.54,6,3.32,5.29,5.66,9.33,4.32,3.68,8.33,4.33,0
